Location_no,Location,Municipality,Province,Region,Country
118,Ameland,Ameland,Friesland,"",Nederland
119,Amelisweerd,Bunnik,Utrecht,"",Nederland
120,Amen,Rolde,Drenthe,"",Nederland
121,Amerongen,Amerongen,Utrecht,"",Nederland
122,Amersfoort,Amersfoort,Utrecht,"",Nederland
124,Ammerstol,Ammerstol,Zuid-Holland,"",Nederland
125,Ammerzoden,Ammerzoden,Gelderland,"",Nederland
126,Andelst,Valburg,Gelderland,"",Nederland
127,Amstelveen,Nieuwer-Amstel,Noord-Holland,"",Nederland
128,Amstenrade,Amstenrade,Limburg,"",Nederland
129,Amsterdam,Amsterdam,Noord-Holland,"",Nederland
130,Amsterdamseveld,Emmen,Drenthe,"",Nederland
131,Andel,Andel,Noord-Brabant,"",Nederland
132,Andelst,Valburg,Gelderland,"",Nederland
135,Andijk,Andijk,Noord-Holland,"",Nederland
137,Angerlo,Angerlo,Gelderland,"",Nederland
141,Anjum,Oostdongeradeel,Friesland,"",Nederland
142,Ankeveen,Ankeveen,Noord-Holland,"",Nederland
144,Anloo,Anloo,Drenthe,"",Nederland
145,Anna Paulowna,Anna Paulowna,Noord-Holland,"",Nederland
147,Annen,Anloo,Drenthe,"",Nederland
148,Annerveen,Anloo,Drenthe,"",Nederland
151,Apeldoorn,Apeldoorn,Gelderland,"",Nederland
156,Appelscha,Ooststellingwerf,Friesland,"",Nederland
157,Appeltern,Appeltern,Gelderland,"",Nederland
158,Appingedam,Appingedam,Groningen,"",Nederland
159,Arcen,Arcen en Velden,Limburg,"",Nederland
160,Arcen en Velden,Arcen en Velden,Limburg,"",Nederland
164,Arkel,Arkel,Zuid-Holland,"",Nederland
166,Arnemuiden,Arnemuiden,Zeeland,"",Nederland
167,Arnhem,Arnhem,Gelderland,"",Nederland
171,Arum,Wonseradeel,Friesland,"",Nederland
174,Asch,Buren,Gelderland,"",Nederland
177,Asperen,Asperen,Zuid-Holland,"",Nederland
180,Assen,Assen,Drenthe,"",Nederland
181,Assendelft,Assendelft,Noord-Holland,"",Nederland
183,Asten,Asten,Noord-Brabant,"",Nederland
189,Augsbuurt,Kollumerland en Nieuwkruisland,Friesland,"",Nederland
190,Augustinusga,Achtkarspelen,Friesland,"",Nederland
196,Austerlitz,Zeist,Utrecht,"",Nederland
197,Avenhorn,Avenhorn,Noord-Holland,"",Nederland
198,Avereest,Avereest,Overijssel,"",Nederland
199,Avezaath,Buren,Gelderland,"",Nederland
200,Avezaath,Zoelen,Gelderland,"",Nederland
201,Axel,Axel,Zeeland,"",Nederland
203,Baambrugge,Abcoude-Baambrugge,Utrecht,"",Nederland
205,Baard,Baarderadeel,Friesland,"",Nederland
206,Baarderadeel,Baarderadeel,Friesland,"",Nederland
207,Baardwijk,Baardwijk,Noord-Brabant,"",Nederland
208,Baarland,Baarland,Zeeland,"",Nederland
210,Baarle-Nassau,Baarle-Nassau,Noord-Brabant,"",Nederland
211,Baarlo,Maasbree,Limburg,"",Nederland
213,Baarn,Baarn,Utrecht,"",Nederland
214,Baarsdorp,'s-Heer Abtskerke,Zeeland,"",Nederland
215,Babberich,Zevenaar,Gelderland,"",Nederland
225,Baexem,Baexem,Limburg,"",Nederland
226,Baflo,Baflo,Groningen,"",Nederland
229,Baijum,Hennaarderadeel,Friesland,"",Nederland
230,Bakel,Bakel en Milheeze,Noord-Brabant,"",Nederland
231,Bakel en Milheeze,Bakel en Milheeze,Noord-Brabant,"",Nederland
232,Bakhuizen,Gaasterland,Friesland,"",Nederland
233,Bakkeveen,Opsterland,Friesland,"",Nederland
234,Bakkum,Castricum,Noord-Holland,"",Nederland
238,Balgoij,Balgoij,Gelderland,"",Nederland
241,Balk,Gaasterland,Friesland,"",Nederland
242,Balloo,Rolde,Drenthe,"",Nederland
243,Ballum,Ameland,Friesland,"",Nederland
244,Balmahuizen,Zuidhorn,Groningen,"",Nederland
253,Bangert,Hoogkarspel,Noord-Holland,"",Nederland
261,Barchem,Lochem,Gelderland,"",Nederland
263,Barendrecht,Barendrecht,Zuid-Holland,"",Nederland
264,Barger-Compascuum,Emmen,Drenthe,"",Nederland
265,Barger-Oosterveen,Emmen,Drenthe,"",Nederland
267,Barlo,Aalten,Gelderland,"",Nederland
271,Barneveld,Barneveld,Gelderland,"",Nederland
272,Barradeel,Barradeel,Friesland,"",Nederland
273,Barsingerhorn,Barsingerhorn,Noord-Holland,"",Nederland
274,Bartlehiem,Tietjerksteradeel,Friesland,"",Nederland
275,Barwoutswaarder,Barwoutswaarder,Zuid-Holland,"",Nederland
279,Batenburg,Batenburg,Gelderland,"",Nederland
280,Bath,Bath,Zeeland,"",Nederland
281,Bath,Fort Bath,Zeeland,"",Nederland
282,Bath,Rilland-Bath,Zeeland,"",Nederland
284,Bathmen,Bathmen,Overijssel,"",Nederland
289,Bavel,Ginneken en Bavel,Noord-Brabant,"",Nederland
293,Bedum,Bedum,Groningen,"",Nederland
295,Beegden,Beegden,Limburg,"",Nederland
298,Beek,Beek (Ge),Gelderland,"",Nederland
299,Beek,Beek (LI),Limburg,"",Nederland
300,Beek,Beek (NB),Noord-Brabant,"",Nederland
301,Beek en Donk,Beek en Donk,Noord-Brabant,"",Nederland
302,Beekbergen,Apeldoorn,Gelderland,"",Nederland
303,Beerze,Ommen,Overijssel,"",Nederland
305,Beemster,Beemster,Noord-Holland,"",Nederland
308,Beers,Baarderadeel,Friesland,"",Nederland
309,Beers,Beers,Noord-Brabant,"",Nederland
311,Beerta,Beerta,Groningen,"",Nederland
312,Beesd,Beesd,Gelderland,"",Nederland
313,Beesel,Beesel,Limburg,"",Nederland
313,Unknown,Unknown,Unknown,"",Unknown
314,Beetgum,Menaldumadeel,Friesland,"",Nederland
315,Beets,Beets,Noord-Holland,"",Nederland
316,Beets,Opsterland,Friesland,"",Nederland
317,Beetsterzwaag,Opsterland,Friesland,"",Nederland
318,Beilen,Beilen,Drenthe,"",Nederland
321,Belfeld,Belfeld,Limburg,"",Nederland
324,Bellingwedde,Bellingwedde,Groningen,"",Nederland
325,Unknown,Unknown,Unknown,"",Unknown
325,Bellingwolde,Bellingwolde,Groningen,"",Nederland
327,Beltrum,Eibergen,Gelderland,"",Nederland
328,Bemelen,Bemelen,Limburg,"",Nederland
329,Bemmel,Bemmel,Gelderland,"",Nederland
330,Beneden Leeuwen,Wamel,Gelderland,"",Nederland
331,Benedenknijpe,Schoterland,Friesland,"",Nederland
334,Bennebroek,Bennebroek,Noord-Holland,"",Nederland
336,Bennekom,Ede (Ge),Gelderland,"",Nederland
339,Benschop,Benschop,Utrecht,"",Nederland
341,Benthuizen,Benthuizen,Zuid-Holland,"",Nederland
342,Berghem,Berghem,Noord-Brabant,"",Nederland
347,Berg aan de Maas,Urmond,Limburg,"",Nederland
348,Berg en Dal,Ubbergen,Gelderland,"",Nederland
349,Berg en Terblijt,Berg en Terblijt,Limburg,"",Nederland
350,Bergambacht,Bergambacht,Zuid-Holland,"",Nederland
352,Bergeijk,Bergeijk,Noord-Brabant,"",Nederland
357,Bergen,Bergen (LI),Limburg,"",Nederland
358,Bergen,Bergen (NH),Noord-Holland,"",Nederland
359,Bergen aan Zee,Bergen (NH),Noord-Holland,"",Nederland
360,Bergen Binnen,Bergen (NH),Noord-Holland,"",Nederland
361,Bergen op Zoom,Bergen op Zoom,Noord-Brabant,"",Nederland
363,Unknown,Unknown,Unknown,"",Unknown
363,Bergh,Bergh,Gelderland,"",Nederland
364,Bergharen,Bergharen,Gelderland,"",Nederland
367,Berghem,Berghem,Noord-Brabant,"",Nederland
370,Bergschenhoek,Bergschenhoek,Zuid-Holland,"",Nederland
371,Bergum,Tietjerksteradeel,Friesland,"",Nederland
372,Bergumerdam,Tietjerksteradeel,Friesland,"",Nederland
373,Bergumerheide,Tietjerksteradeel,Friesland,"",Nederland
375,Unknown,Unknown,Unknown,"",Unknown
375,Berkel,Berkel-Enschot,Noord-Brabant,"",Nederland
376,Berkel en Rodenrijs,Berkel en Rodenrijs,Zuid-Holland,"",Nederland
377,Berkel-Enschot,Berkel-Enschot,Noord-Brabant,"",Nederland
379,Berkenrode,Berkenrode,Noord-Holland,"",Nederland
380,Berkenwoude,Berkenwoude,Zuid-Holland,"",Nederland
381,Berkhout,Berkhout,Noord-Holland,"",Nederland
382,Blerick,Venlo,Limburg,"",Nederland
384,Berlicum,Berlicum (NB),Noord-Brabant,"",Nederland
387,Unknown,Unknown,Unknown,"",Unknown
387,Berlikum,Menaldumadeel,Friesland,"",Nederland
389,Bernheze,Heesch,Noord-Brabant,"",Nederland
390,Bernisse,Bernisse,Zuid-Holland,"",Nederland
392,Besoijen,Besoijen,Noord-Brabant,"",Nederland
393,Best,Best,Noord-Brabant,"",Nederland
396,Betterwird,Westdongeradeel,Friesland,"",Nederland
397,Beugen,Beugen en Rijkevoort,Noord-Brabant,"",Nederland
398,Beugen en Rijkevoort,Beugen en Rijkevoort,Noord-Brabant,"",Nederland
399,Beuningen,Beuningen,Gelderland,"",Nederland
400,Beusichem,Beusichem,Gelderland,"",Nederland
403,Beverwijk,Beverwijk,Noord-Holland,"",Nederland
411,Biert,Geervliet,Zuid-Holland,"",Nederland
412,Bierum,Bierum,Groningen,"",Nederland
413,Biervliet,Biervliet,Zeeland,"",Nederland
414,Biezelinge,Kapelle,Zeeland,"",Nederland
415,Biggekerke,Biggekerke,Zeeland,"",Nederland
416,Billinghuizen,Gulpen,Limburg,"",Nederland
418,Bilthoven,De Bilt,Utrecht,"",Nederland
419,Biltschehoek,De Bilt,Utrecht,"",Nederland
421,Bingelrade,Bingelrade,Limburg,"",Nederland
422,Binnenmaas,Binnenmaas,Zuid-Holland,"",Nederland
423,Birdaard,Dantumadeel,Friesland,"",Nederland
429,Bladel,Bladel en Netersel,Noord-Brabant,"",Nederland
430,Bladel en Netersel,Bladel en Netersel,Noord-Brabant,"",Nederland
432,Blankenham,Blankenham,Overijssel,"",Nederland
434,Blaricum,Blaricum,Noord-Holland,"",Nederland
435,Blauwhuis,Wymbritseradeel,Friesland,"",Nederland
436,Blauwkapel,Maartensdijk,Utrecht,"",Nederland
437,Bleijerheide,Kerkrade,Limburg,"",Nederland
438,Bleiswijk,Bleiswijk,Zuid-Holland,"",Nederland
439,Blerick,Maasbree,Limburg,"",Nederland
442,Blesdijke,Weststellingwerf,Friesland,"",Nederland
443,Bleskensgraaf,Bleskensgraaf en Hofwegen,Zuid-Holland,"",Nederland
444,Bleskensgraaf en Hofwegen,Bleskensgraaf en Hofwegen,Zuid-Holland,"",Nederland
445,Blessum,Menaldumadeel,Friesland,"",Nederland
446,Blija,Ferwerderadeel,Friesland,"",Nederland
447,Blijdenstein,Ruinerwold,Drenthe,"",Nederland
448,Breklenkamp,Ootmarsum Ambt,Overijssel,"",Nederland
450,Bloemendaal,Bloemendaal (NH),Noord-Holland,"",Nederland
451,Blokker,Blokker,Noord-Holland,"",Nederland
452,Blokzijl,Blokzijl,Overijssel,"",Nederland
455,Boarnsterhim,Boarnsterhim,Friesland,"",Nederland
459,Bocholtz,Bocholtz,Limburg,"",Nederland
464,Bodegraven,Bodegraven,Zuid-Holland,"",Nederland
470,Boekel,Boekel,Noord-Brabant,"",Nederland
473,Boijl,Weststellingwerf,Friesland,"",Nederland
477,Bokhoven,Bokhoven,Noord-Brabant,"",Nederland
478,Boksum,Menaldumadeel,Friesland,"",Nederland
479,Bolnes,Ridderkerk,Zuid-Holland,"",Nederland
481,Bolsward,Bolsward,Friesland,"",Nederland
484,Bommenede,Bommenede,Zeeland,"",Nederland
485,Bommenede,Zonnemaire,Zeeland,"",Nederland
491,Boornbergum,Smallingerland,Friesland,"",Nederland
492,Boornzwaag,Doniawerstal,Friesland,"",Nederland
497,Borculo,Borculo,Gelderland,"",Nederland
501,Borger,Borger,Drenthe,"",Nederland
503,Borger-Odoorn,Borger-Odoorn,Drenthe,"",Nederland
504,Borgharen,Borgharen,Limburg,"",Nederland
511,Borgsweer,Delfzijl,Groningen,"",Nederland
512,Borgsweer,Termunten,Groningen,"",Nederland
513,Borkel,Borkel en Schaft,Noord-Brabant,"",Nederland
514,Borkel en Schaft,Borkel en Schaft,Noord-Brabant,"",Nederland
517,Born,Born,Limburg,"",Nederland
518,Borne,Borne,Overijssel,"",Nederland
522,Bornwird,Westdongeradeel,Friesland,"",Nederland
524,Borssele,Borssele,Zeeland,"",Nederland
525,Bosch en Duin,Zeist,Utrecht,"",Nederland
526,Boschheurne,Laren,Gelderland,"",Nederland
527,Boschkapelle,Boschkapelle,Zeeland,"",Nederland
528,Boschkapelle,Vogelwaarde,Zeeland,"",Nederland
529,Boskoop,Boskoop,Zuid-Holland,"",Nederland
538,Bourtange,Vlagtwedde,Groningen,"",Nederland
540,Bovenbergum,Tietjerksteradeel,Friesland,"",Nederland
541,Bovenkarspel,Bovenkarspel,Noord-Holland,"",Nederland
542,Bovenknijpe,Schoterland,Friesland,"",Nederland
543,Bovensmilde,Smilde,Drenthe,"",Nederland
544,Boxmeer,Boxmeer,Noord-Brabant,"",Nederland
545,Boxtel,Boxtel,Noord-Brabant,"",Nederland
546,Bozum,Baarderadeel,Friesland,"",Nederland
547,Brakel,Brakel,Gelderland,"",Nederland
550,Brandwijk,Brandwijk,Zuid-Holland,"",Nederland
552,Brantgum,Westdongeradeel,Friesland,"",Nederland
558,Breda,Breda,Noord-Brabant,"",Nederland
560,Brederwiede,Brederwiede,Overijssel,"",Nederland
561,Bredevoort,Aalten,Gelderland,"",Nederland
562,Bree,Maasbree,Limburg,"",Nederland
566,Breskens,Breskens,Zeeland,"",Nederland
571,Breukelen,Breukelen,Utrecht,"",Nederland
572,Breukelen-Nijenrode,Breukelen-Nijenrode,Utrecht,"",Nederland
573,Breukelen-Sint Pieters,Breukelen-Sint Pieters,Utrecht,"",Nederland
577,Brielle,Brielle,Zuid-Holland,"",Nederland
578,Brigdamme,Middelburg (Ze),Zeeland,"",Nederland
583,Britsum,Leeuwarderadeel,Friesland,"",Nederland
584,Britswerd,Baarderadeel,Friesland,"",Nederland
586,Broek,Waddinxveen,Zuid-Holland,"",Nederland
587,Broek,Doniawerstal,Friesland,"",Nederland
588,Broek,Doniawerstal,Friesland,"",Nederland
589,Broek,Broek (ZH),Zuid-Holland,"",Nederland
590,Broek in Waterland,Broek in Waterland,Noord-Holland,"",Nederland
591,Broek op Langendijk,Broek op Langendijk,Noord-Holland,"",Nederland
592,Broekhem,Valkenburg (LI),Limburg,"",Nederland
593,Broekhin,Maasniel,Limburg,"",Nederland
594,Broekhuizen,Broekhuizen,Limburg,"",Nederland
595,Broeksittard,Sittard,Limburg,"",Nederland
596,Broeksterwoude,Dantumadeel,Friesland,"",Nederland
598,Brouwershaven,Brouwershaven,Zeeland,"",Nederland
599,Bruchem,Kerkwijk,Gelderland,"",Nederland
608,Bruinisse,Bruinisse,Zeeland,"",Nederland
610,Brummen,Brummen,Gelderland,"",Nederland
611,Brunssum,Brunssum,Limburg,"",Nederland
620,Buchten,Born,Limburg,"",Nederland
624,Budel,Budel,Noord-Brabant,"",Nederland
630,Buggenum,Buggenum,Limburg,"",Nederland
631,Buiksloot,Buiksloot,Noord-Holland,"",Nederland
632,Buinen,Borger,Drenthe,"",Nederland
633,Buitenpost,Achtkarspelen,Friesland,"",Nederland
634,De Knijpe,Schoterland,Friesland,"",Nederland
638,Bunde,Bunde,Limburg,"",Nederland
641,Bunne,Vries,Drenthe,"",Nederland
642,Bunnik,Bunnik,Utrecht,"",Nederland
643,Bunschoten,Bunschoten,Utrecht,"",Nederland
648,Buren,Ameland,Friesland,"",Nederland
649,Buren,Buren,Gelderland,"",Nederland
650,Burgerbrug,Zijpe,Noord-Holland,"",Nederland
651,Burgerveen,Haarlemmermeer,Noord-Holland,"",Nederland
652,Burgh,Burgh,Zeeland,"",Nederland
653,Burghsluis,Burgh,Zeeland,"",Nederland
655,Burgum,Tietjerksteradeel,Friesland,"",Nederland
656,Burgwerd,Wonseradeel,Friesland,"",Nederland
661,Burum,Kollumerland en Nieuwkruisland,Friesland,"",Nederland
663,Bussum,Bussum,Noord-Holland,"",Nederland
663,Unknown,Unknown,Unknown,"",Unknown
664,Buttinge,Grijpskerke,Zeeland,"",Nederland
666,Buurmalsen,Buurmalsen,Gelderland,"",Nederland
667,Buurse,Haaksbergen,Overijssel,"",Nederland
670,Cabauw,Willige-Langerak,Utrecht,"",Nederland
671,Cabouw,Willige-Langerak,Utrecht,"",Nederland
672,Cadier,Cadier en Keer,Limburg,"",Nederland
673,Cadier en Keer,Cadier en Keer,Limburg,"",Nederland
674,Cadzand,Cadzand,Zeeland,"",Nederland
681,Callantsoog,Callantsoog,Noord-Holland,"",Nederland
689,Capelle,Capelle,Noord-Brabant,"",Nederland
690,Capelle aan den Ijssel,Capelle aan den IJssel,Zuid-Holland,"",Nederland
693,Casteren,Bladel,Noord-Brabant,"",Nederland
696,Castricum,Castricum,Noord-Holland,"",Nederland
698,Catrijp,Schoorl,Noord-Holland,"",Nederland
701,Chaam,Chaam,Noord-Brabant,"",Nederland
705,Charlois,Charlois,Zuid-Holland,"",Nederland
721,Clinge,Clinge,Zeeland,"",Nederland
727,Coevorden,Coevorden,Drenthe,"",Nederland
729,Colijnsplaat,Colijnsplaat,Zeeland,"",Nederland
736,Cornjum,Leeuwarderadeel,Friesland,"",Nederland
737,Cornwerd,Wonseradeel,Friesland,"",Nederland
738,Cornwerderzand,Wonseradeel,Friesland,"",Nederland
740,Cothen,Cothen,Utrecht,"",Nederland
744,Cromstrijen,Cromstrijen,Zuid-Holland,"",Nederland
745,Cromvoirt,Cromvoirt,Noord-Brabant,"",Nederland
750,Cuijk,Cuijk en Sint Agatha,Noord-Brabant,"",Nederland
751,Cuijk en Sint Agatha,Cuijk en Sint Agatha,Noord-Brabant,"",Nederland
752,Culemborg,Culemborg,Gelderland,"",Nederland
756,Daarle,Hellendoorn,Overijssel,"",Nederland
759,Dalem,Vuren,Gelderland,"",Nederland
760,Dalen,Dalen,Drenthe,"",Nederland
761,Dalerveen,Dalen,Drenthe,"",Nederland
762,Dalfsen,Dalfsen,Overijssel,"",Nederland
764,Damwoude,Dantumadeel,Friesland,"",Nederland
766,Dantumadeel,Dantumadeel,Friesland,"",Nederland
767,Dantumawoude,Dantumadeel,Friesland,"",Nederland
771,Darthuizen,Leersum,Utrecht,"",Nederland
774,De Bilt,De Bilt,Utrecht,"",Nederland
775,De Cocksdorp,Texel,Noord-Holland,"",Nederland
776,De Groeve,Zuidlaren,Drenthe,"",Nederland
777,De Haar,Assen,Drenthe,"",Nederland
779,De Knijpe,Schoterland,Friesland,"",Nederland
780,De Knippe,Heerenveen,Friesland,"",Nederland
781,De Kooij,Den Helder,Noord-Holland,"",Nederland
782,De Lier,De Lier,Zuid-Holland,"",Nederland
783,De Marne,De Marne,Groningen,"",Nederland
784,De Meern,Vleuten,Utrecht,"",Nederland
785,De Mijl,Dubbeldam,Zuid-Holland,"",Nederland
786,De Mok,Texel,Noord-Holland,"",Nederland
787,De Nes,Texel,Noord-Holland,"",Nederland
788,De Punt,Vries,Drenthe,"",Nederland
789,De Rijp,De Rijp,Noord-Holland,"",Nederland
790,De Ronde Venen,De Ronde Venen,Utrecht,"",Nederland
791,De Schrans,Leeuwarderadeel,Friesland,"",Nederland
792,De Steeg,Rheden,Gelderland,"",Nederland
793,De Valom,Dantumadeel,Friesland,"",Nederland
794,De Vuursche,De Vuursche,Utrecht,"",Nederland
795,De Waal,Texel,Noord-Holland,"",Nederland
796,De Weere,Hoogwoud,Noord-Holland,"",Nederland
797,Unknown,Unknown,Unknown,"",Unknown
797,De Werken,De Werken en Sleeuwijk,Noord-Brabant,"",Nederland
798,De Werken en Sleeuwijk,De Werken en Sleeuwijk,Noord-Brabant,"",Nederland
799,De Wijk,De Wijk,Drenthe,"",Nederland
800,De Wilp,Marum,Groningen,"",Nederland
801,De Wolden,De Wolden,Drenthe,"",Nederland
802,Dedemsvaart,Avereest,Overijssel,"",Nederland
803,Dedgum,Wonseradeel,Friesland,"",Nederland
804,Deersum,Rauwerderhem,Friesland,"",Nederland
805,Deest,Druten,Gelderland,"",Nederland
806,Deil,Deil,Gelderland,"",Nederland
807,Deinum,Menaldumadeel,Friesland,"",Nederland
810,Delden,Delden,Overijssel,"",Nederland
811,Delden Ambt,Delden Ambt,Overijssel,"",Nederland
812,Delden Stad,Delden Stad,Overijssel,"",Nederland
813,Delfgauw,Pijnacker,Zuid-Holland,"",Nederland
814,Delfstrahuizen,Schoterland,Friesland,"",Nederland
815,Delfshaven,Rotterdam,Zuid-Holland,"",Nederland
816,Delfstrahuizen,Haskerland,Friesland,"",Nederland
817,Delfstrahuizen,Schoterland,Friesland,"",Nederland
818,Delft,Delft,Zuid-Holland,"",Nederland
819,Delfzijl,Delfzijl,Groningen,"",Nederland
822,Den Bommel,Den Bommel,Zuid-Holland,"",Nederland
823,Den Burg,Texel,Noord-Holland,"",Nederland
824,Den Dolder,Zeist,Utrecht,"",Nederland
825,Den Dungen,Den Dungen,Noord-Brabant,"",Nederland
826,Den Ham,Den Ham,Overijssel,"",Nederland
827,Den Helder,Den Helder,Noord-Holland,"",Nederland
828,Den Horn,Aduard,Groningen,"",Nederland
829,Den Oever,Wieringen,Noord-Holland,"",Nederland
830,Den Twist,Vierlingsbeek,Noord-Brabant,"",Nederland
832,Denekamp,Denekamp,Overijssel,"",Nederland
838,Deurne,Deurne,Noord-Brabant,"",Nederland
840,Deurne en Liessel,Deurne en Liessel,Noord-Brabant,"",Nederland
841,Deurningen,Weerselo,Overijssel,"",Nederland
842,Deursen,Deursen en Dennenburg,Noord-Brabant,"",Nederland
843,Deursen en Dennenburg,Deursen en Dennenburg,Noord-Brabant,"",Nederland
844,Deventer,Deventer,Overijssel,"",Nederland
846,Didam,Didam,Gelderland,"",Nederland
847,Dieden,"Dieden, Demen en Langel",Noord-Brabant,"",Nederland
848,"Dieden, Demel en Langen","Dieden, Demen en Langel",Noord-Brabant,"",Nederland
850,Diemen,Diemen,Noord-Holland,"",Nederland
851,Diemerbroek,Papekop,Zuid-Holland,"",Nederland
853,Diepenheim,Diepenheim,Overijssel,"",Nederland
854,Diepenveen,Diepenveen,Overijssel,"",Nederland
856,Dieren,Rheden,Gelderland,"",Nederland
857,Diessen,Diessen,Noord-Brabant,"",Nederland
858,Diever,Diever,Drenthe,"",Nederland
859,Dieverbrug,Diever,Drenthe,"",Nederland
860,Dieverdam,Diever,Drenthe,"",Nederland
861,Dijken,Doniawerstal,Friesland,"",Nederland
862,Dijkhuizen,Appingedam,Groningen,"",Nederland
869,Dingjum,Franekeradeel,Friesland,"",Nederland
873,Dinteloord,Dinteloord en Prinsenland,Noord-Brabant,"",Nederland
874,Dinteloord en Prinsenland,Dinteloord en Prinsenland,Noord-Brabant,"",Nederland
875,Dinther,Dinther,Noord-Brabant,"",Nederland
876,Dinxperlo,Dinxperlo,Gelderland,"",Nederland
877,Dirksland,Dirksland,Zuid-Holland,"",Nederland
888,Dodewaard,Dodewaard,Gelderland,"",Nederland
890,Doesburg,Doesburg,Gelderland,"",Nederland
891,Doetinchem,Doetinchem,Gelderland,"",Nederland
892,Doetinchem Ambt,Doetinchem Ambt,Gelderland,"",Nederland
